timestamp_s,ROM Flexión/Extensión_°
0.0370,0.0000
0.0410,26.6000
0.1430,26.5900
0.2500,26.5900
0.3560,26.5500
0.4580,26.5500
0.5570,26.5200
0.6670,26.5400
0.7780,26.6500
0.8760,26.5000
0.9790,26.5000
1.0770,26.4800
1.1790,26.4700
1.2820,26.4800
1.3800,26.4600
1.4820,26.4300
1.5850,26.4400
1.6910,26.4600
1.7980,26.4600
1.8960,26.4400
1.9990,26.4300
2.0970,26.4200
2.2080,26.4100
2.3060,26.4000
2.4080,26.4000
2.5070,25.4700
2.6090,28.9700
2.7070,26.7100
2.8100,22.6800
2.9120,18.8000
3.0110,17.2300
3.1130,19.5800
3.2150,28.1200
3.3180,28.9000
3.4240,18.9300
3.5270,12.1400
3.6370,12.1800
3.7360,20.3200
3.8380,24.6900
3.9360,33.1100
4.0380,33.5600
4.1370,31.6300
4.2390,31.3200
4.3380,24.2800
4.4400,22.3000
4.5420,22.6100
4.6450,19.0500
4.7430,14.2700
4.8460,25.8000
4.9440,21.9500
