timestamp_s,ROM Flexión/Extensión_°
0.0610,0.0000
0.0650,33.2600
0.1720,33.2200
0.2740,33.2000
0.3760,33.1900
0.4790,33.1200
0.5810,33.1200
0.6880,33.1000
0.7900,33.1000
0.8890,33.0800
0.9990,33.0600
1.1010,33.1100
1.2000,33.0800
1.3020,33.1300
1.4000,33.1400
1.4990,33.1000
1.6010,33.1200
1.7040,33.0900
1.8020,33.0500
1.9040,33.0300
2.0110,33.0200
2.1130,33.0000
2.2200,32.9800
2.3300,32.9500
2.4290,32.9400
2.5390,32.8900
2.6380,32.9100
2.7400,32.8900
2.8390,32.8900
2.9410,32.8500
3.0390,32.8100
3.1420,32.8000
3.2440,32.7800
3.3500,32.7600
3.4570,32.7300
3.5630,32.7100
3.6700,32.7100
3.7800,32.7000
3.8790,32.6600
3.9890,32.6500
4.0880,32.6200
4.1900,32.6100
4.2880,32.5500
4.3910,32.5300
4.4930,32.4900
4.5910,32.4700
4.6940,32.4600
4.8000,32.4400
4.9070,32.4300
