timestamp_s,ROM Flexión/Extensión_°
0.0590,0.0000
0.0630,-0.4000
0.1610,-0.4000
0.2640,-0.3800
0.3620,-0.3900
0.4730,-0.4000
0.5710,-0.4000
0.6730,-0.3900
0.7730,-0.3900
0.8740,-0.3800
0.9730,-0.3800
1.0750,-0.4000
1.1770,-0.3700
1.2760,-0.4100
1.3780,-0.3500
1.4810,-0.4900
1.5830,-0.4500
1.6810,-0.4800
1.7920,-0.5100
1.8900,-0.4900
1.9920,-0.5300
2.0910,-0.4900
2.1930,-0.5100
2.2920,-0.5200
2.3940,-0.5000
2.4920,-0.5000
2.5950,-0.4800
2.7010,-0.4800
2.8080,-0.4900
2.9100,1.2000
3.0080,1.0800
3.1110,1.8400
3.2100,0.8400
3.3200,2.0700
3.4180,2.2800
3.5200,3.5600
3.6200,6.7900
3.7210,9.0900
3.8200,8.5300
3.9220,8.7100
4.0240,9.0100
4.1230,13.4300
4.2250,20.5900
4.3270,26.2300
4.4300,31.4200
4.5280,31.2300
4.6390,32.9800
4.7380,35.0700
4.8480,38.0600
4.9500,39.4800
